API,Tfu,Tfob,Tfb,Tfc,Klr,Kl,Kll,Klz,Kfh
4900705010,,,,,2294.3,2294.3,2569.6,3085.4,3917.7
4900705018,973.9,1226.3,1295.5,1569.4,2310.3,2310.3,2696.6,3289.7,3800.6
4900705023,1891.7,2257.6,2368.2,2506.6,3307.5,3307.5,3945.5,,4860.1
4900705050,2287.6,2681.5,2732.2,2923.5,3652.1,3652.1,4125.9,4494.2,5340.9
4900705051,741.0,1275.6,1326.3,1478.2,2243.6,2243.6,2738.6,3340.8,4246.8
4900705057,1087.4,1528.9,1605.1,1745.8,2598.2,2598.2,3011.8,3574.6,4343.0
4900705077,1988.9,2752.4,,2829.5,3831.4,3831.4,4533.6,5213.0,5872.4
4900705277,,730.5,,1572.8,3590.3,3590.3,4292.4,5669.9,
4900706922,650.9,,961.5,1301.7,1982.4,1982.4,2336.2,3027.0,3544.3
4900720003,,,,,,,,5454.4,6311.2
4900720017,405.0,779.2,873.3,1147.1,1889.2,1889.2,2148.7,2778.5,3316.4
4900720039,518.3,812.2,856.5,1227.2,1898.7,1898.7,2196.2,2822.8,3363.8
4900720050,1388.7,1525.8,1657.5,1946.5,2686.5,2686.5,3052.2,3568.5,4278.5
4900720051,2222.0,2668.1,2726.2,2814.7,3609.4,3609.4,4099.0,4669.9,5134.0
4900720052,1289.2,1677.2,1729.8,1887.5,2633.3,2633.3,3306.0,,4199.7
4900720056,917.5,,,2013.6,,,,,
4900720067,536.9,758.9,806.0,1187.8,1863.1,1863.1,2228.8,2960.0,3553.8
4900720081,697.0,1021.4,1178.5,1467.5,2151.9,2151.9,2401.9,2778.5,3648.7
4900720094,4593.2,5283.6,5445.6,5557.2,6474.9,6474.9,6992.4,7369.8,8161.7
4900720101,1444.6,1584.7,1796.9,2126.4,2740.6,2740.6,3123.9,3639.5,4398.7
4900720122,1813.8,2287.6,2358.5,2448.5,3295.3,3295.3,3863.3,4345.0,5116.4
4900720125,1955.1,2713.6,,2795.7,3952.4,3952.4,4686.3,5123.2,5729.7
4900720129,2736.5,3117.4,3206.4,3389.3,4199.5,4199.5,4661.0,5082.6,5748.0
4900720131,3161.2,,3632.2,3745.7,4856.5,4856.5,5200.2,,6123.0
4900720136,1213.3,1427.0,1493.3,1742.2,2473.6,2473.6,2771.4,,3589.3
4900720142,1369.9,1488.6,1575.0,1880.9,2695.0,2695.0,2995.7,3411.5,4148.7
4900720222,1605.4,2478.9,,2598.8,3809.9,3809.9,4502.7,5136.4,5807.2
4900720228,2163.7,2886.6,,2966.0,4093.9,4093.9,4754.4,5279.8,5935.5
4900720263,,1337.0,1462.4,1807.1,2409.1,2409.1,2673.6,3317.9,4142.4
4900720268,4896.2,5491.9,5600.0,5714.4,6646.8,6646.8,7102.8,7566.5,8109.2
4900720285,5166.9,5738.6,5850.2,5942.8,6798.5,6798.5,7414.9,7868.3,8566.4
4900720308,2074.0,,2618.4,2739.6,3620.8,3620.8,4113.0,,4924.1
4900720314,2216.6,2699.4,2751.2,2832.8,3722.0,3722.0,4277.4,4858.9,5457.1
4900720319,3720.5,4302.7,4444.9,4507.5,5417.1,5417.1,5858.2,6342.9,7144.7
4900720352,1274.8,1800.8,1848.8,1952.9,2780.0,2780.0,3286.5,3776.1,4645.5
4900720405,1518.2,1994.4,2097.9,2216.1,3023.4,3023.4,3482.3,4097.7,4781.2
4900720421,,1616.6,,2204.8,3821.4,3821.4,4635.8,5643.6,6655.5
4900720425,392.7,971.7,,1902.3,3249.0,3249.0,4169.6,5184.9,6159.0
4900720441,650.0,1752.3,,2291.9,3989.6,3989.6,4714.5,5779.8,6558.6
4900720443,1089.9,1633.5,1680.8,1844.0,2592.3,2592.3,3111.1,3561.3,4435.6
4900720451,1554.4,2212.7,,2778.6,3972.5,3972.5,4845.2,5451.1,6388.9
